r,att,delta.rank,r.rank,g
d.0,0,0,2,1
d.1,0.0448,-11,13,1
d.2,0.0505,-2,4,1
d.3,0.015,-9,11,1
d.4,-0.0205,-4,6,1
d.5,-0.0031,-10,12,1
d.6,-0.0404,-8,10,1
d.7,-0.0095,-7,9,1
d.8,-0.0411,-6,8,1
d.9,0.1109,-1,3,1
d.11,0.0784,1,1,1
d.12,-0.0167,-5,7,1
d.13,0.0719,-3,5,1
d.0,0.115,11,2,2
d.1,0,0,13,2
d.2,0.0947,9,4,2
d.3,0.0165,2,11,2
d.4,-0.0252,7,6,2
d.5,-0.0707,1,12,2
d.6,0.0009,3,10,2
d.7,0.0285,4,9,2
d.8,-0.0481,5,8,2
d.9,0.1144,10,3,2
d.11,0.0301,12,1,2
d.12,-0.0761,6,7,2
d.13,0.0637,8,5,2
d.0,0.0921,2,2,3
d.1,0.0521,-9,13,3
d.2,0,0,4,3
d.3,0.0034,-7,11,3
d.4,-0.0385,-2,6,3
d.5,-0.0268,-8,12,3
d.6,-0.0185,-6,10,3
d.7,0.0261,-5,9,3
d.8,-0.0362,-4,8,3
d.9,0.1255,1,3,3
d.11,0.117,3,1,3
d.12,-0.0688,-3,7,3
d.13,0.0485,-1,5,3
d.0,0.0844,9,2,4
d.1,0.0419,-2,13,4
d.2,0.0593,7,4,4
d.3,0,0,11,4
d.4,-0.0625,5,6,4
d.5,-0.0334,-1,12,4
d.6,-0.0299,1,10,4
d.7,0.0421,2,9,4
d.8,-0.0166,3,8,4
d.9,0.1307,8,3,4
d.11,0.0602,10,1,4
d.12,-0.0178,4,7,4
d.13,0.0762,6,5,4
d.0,0.1179,4,2,5
d.1,0.0427,-7,13,5
d.2,0.0627,2,4,5
d.3,0.0382,-5,11,5
d.4,0,0,6,5
d.5,-0.0136,-6,12,5
d.6,-0.0171,-4,10,5
d.7,-0.0053,-3,9,5
d.8,-0.0124,-2,8,5
d.9,0.1209,3,3,5
d.11,0.1394,5,1,5
d.12,-0.0235,-1,7,5
d.13,0.0637,1,5,5
d.0,0.1133,10,2,6
d.1,0.0661,-1,13,6
d.2,0.0679,8,4,6
d.3,0.0102,1,11,6
d.4,-0.0422,6,6,6
d.5,0,0,12,6
d.6,-0.0337,2,10,6
d.7,0.0402,3,9,6
d.8,0.0075,4,8,6
d.9,0.1116,9,3,6
d.11,0.0694,11,1,6
d.12,-0.0435,5,7,6
d.13,0.0525,7,5,6
d.0,0.0916,8,2,7
d.1,0.0645,-3,13,7
d.2,0.0739,6,4,7
d.3,0.0267,-1,11,7
d.4,-0.0273,4,6,7
d.5,-0.0341,-2,12,7
d.6,0,0,10,7
d.7,0.0108,1,9,7
d.8,-0.034,2,8,7
d.9,0.1244,7,3,7
d.11,0.0614,9,1,7
d.12,-0.0349,3,7,7
d.13,0.0643,5,5,7
d.0,0.0815,7,2,8
d.1,0.0653,-4,13,8
d.2,0.0733,5,4,8
d.3,0.0613,-2,11,8
d.4,-0.0515,3,6,8
d.5,-0.0321,-3,12,8
d.6,-0.0256,-1,10,8
d.7,0,0,9,8
d.8,-0.0461,1,8,8
d.9,0.1092,6,3,8
d.11,0.0409,8,1,8
d.12,-0.053,2,7,8
d.13,0.0337,4,5,8
d.0,0.1098,6,2,9
d.1,0.0517,-5,13,9
d.2,0.0707,4,4,9
d.3,0.0377,-3,11,9
d.4,-0.0207,2,6,9
d.5,-0.0034,-4,12,9
d.6,-0.0084,-2,10,9
d.7,0.0103,-1,9,9
d.8,0,0,8,9
d.9,0.0993,5,3,9
d.11,0.1195,7,1,9
d.12,-0.0441,1,7,9
d.13,0.0856,3,5,9
d.0,0.1015,1,2,10
d.1,0.061,-10,13,10
d.2,0.0411,-1,4,10
d.3,0.0129,-8,11,10
d.4,-0.0356,-3,6,10
d.5,-0.0537,-9,12,10
d.6,-0.017,-7,10,10
d.7,-0.0013,-6,9,10
d.8,-0.0325,-5,8,10
d.9,0,0,3,10
d.11,0.1129,2,1,10
d.12,-0.0755,-4,7,10
d.13,0.0676,-2,5,10
d.0,0.1012,-1,2,11
d.1,0.0738,-12,13,11
d.2,0.0504,-3,4,11
d.3,0.0328,-10,11,11
d.4,-0.0507,-5,6,11
d.5,-0.0201,-11,12,11
d.6,-0.0688,-9,10,11
d.7,-0.0542,-8,9,11
d.8,-0.0273,-7,8,11
d.9,0.0928,-2,3,11
d.11,0,0,1,11
d.12,-0.0109,-6,7,11
d.13,0.083,-4,5,11
d.0,0.1239,5,2,12
d.1,0.0321,-6,13,12
d.2,0.0524,3,4,12
d.3,0.0483,-4,11,12
d.4,-0.0286,1,6,12
d.5,-0.0034,-5,12,12
d.6,-0.0088,-3,10,12
d.7,-0.0238,-2,9,12
d.8,-0.0463,-1,8,12
d.9,0.091,4,3,12
d.11,0.1082,6,1,12
d.12,0,0,7,12
d.13,0.0679,2,5,12
d.0,0.1187,3,2,13
d.1,0.0288,-8,13,13
d.2,0.0423,1,4,13
d.3,0.0262,-6,11,13
d.4,-0.0153,-1,6,13
d.5,-0.0367,-7,12,13
d.6,-0.0356,-5,10,13
d.7,-0.0173,-4,9,13
d.8,-0.0188,-3,8,13
d.9,0.0902,2,3,13
d.11,0.1428,4,1,13
d.12,-0.0127,-2,7,13
d.13,0,0,5,13
