ID,M2,F11,F2,F9,F4,F10,F8,F7,F6,F1,M1,F5,F3
M2,0,0,0,0,0,0,0,0,0,0,0,0,0
F11,0,0,0,0,0,-0.0707,0,0,0,0,0,-0.0761,0
F2,0,0,0,0,0,0,0,0,0,0,0,-0.0688,0
F9,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,0,0,0,0,0,0,0,0,0,0,0,0,0
F10,0,0,0,0,0,0,0,0,0,0,0,-0.0435,0
F8,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,0,0,0,0,-0.0516,0,0,0,0,0,0,-0.0531,0
F6,0,0,0,0,0,0,0,0,0,0,0,-0.0441,0
F1,0,0,0,0,0,-0.0538,0,0,0,0,0,-0.0755,0
M1,0,0,0,0,-0.0508,0,-0.0688,-0.0541,0,0,0,0,0
F5,0,0,0,0,0,0,0,0,-0.0463,0,0,0,0
F3,0,0,0,0,0,-0.0368,0,0,0,0,0,0,0
