ID,M2,F11,F2,F9,F4,F10,F8,F7,F6,F1,M1,F5,F3
M2,0,0.0448,0.0505,0,0,0,0,0,0,0.1109,0.0784,0,0.0719
F11,0.115,0,0.0947,0,0,0,0,0,0,0.1144,0,0,0.0637
F2,0.0921,0.0521,0,0,0,0,0,0,0,0.1255,0.117,0,0.0485
F9,0.0844,0.0419,0,0,0,0,0,0.0421,0,0.1307,0.0602,0,0.0762
F4,0.1179,0.0428,0.0628,0.0383,0,0,0,0,0,0.1209,0.1395,0,0.0636
F10,0.1133,0.0661,0.0679,0,0,0,0,0.0402,0,0.1116,0.0694,0,0.0525
F8,0.0916,0.0645,0.074,0,0,0,0,0,0,0.1243,0.0615,0,0.0642
F7,0.0815,0.0653,0.0733,0.0613,0,0,0,0,0,0.1092,0.0409,0,0
F6,0.1098,0.0517,0.0709,0.0377,0,0,0,0,0,0.0993,0.1196,0,0.0855
F1,0.1015,0.061,0.0412,0,0,0,0,0,0,0,0.113,0,0.0674
M1,0.1012,0.0738,0.0505,0,0,0,0,0,0,0.0928,0,0,0.0828
F5,0.1239,0,0.0525,0.0484,0,0,0,0,0,0.091,0.1082,0,0.0677
F3,0.1187,0,0.0425,0,0,0,0,0,0,0.0903,0.1429,0,0
