Influence,Category,ID,node,percentage
0.406406749,Towards,M2,0,T
0.371029468,Towards,F11,1,T
0.424212886,Towards,F2,2,T
0.445889219,Towards,F9,3,T
0.525899991,Towards,F4,4,T
0.47658251,Towards,F10,5,T
0.484460141,Towards,F8,6,T
0.393560744,Towards,F7,7,T
0.496328294,Towards,F6,8,T
0.361335842,Towards,F1,9,T
0.357741705,Towards,M1,11,T
0.466951567,Towards,F5,12,T
0.396541323,Towards,F3,13,T
0,Away,M2,0,T
0.140451588,Away,F11,1,T
0.067063067,Away,F2,2,T
0,Away,F9,3,T
0,Away,F4,4,T
0.039791438,Away,F10,5,T
0,Away,F8,6,T
0.095494345,Away,F7,7,T
0.038099352,Away,F6,8,T
0.121636877,Away,F1,9,T
0.154923296,Away,M1,11,T
0.043969611,Away,F5,12,T
0.036999799,Away,F3,13,T
0.593593251,Bearing,M2,0,T
0.488518944,Bearing,F11,1,T
0.508724047,Bearing,F2,2,T
0.554110781,Bearing,F9,3,T
0.474100009,Bearing,F4,4,T
0.483626052,Bearing,F10,5,T
0.515539859,Bearing,F8,6,T
0.510944911,Bearing,F7,7,T
0.465572354,Bearing,F6,8,T
0.517027281,Bearing,F1,9,T
0.487334998,Bearing,M1,11,T
0.489078822,Bearing,F5,12,T
0.566458878,Bearing,F3,13,T
0.3565,Attraction,M2,0,F
0.3878,Attraction,F11,1,F
0.4352,Attraction,F2,2,F
0.4355,Attraction,F9,3,F
0.5858,Attraction,F4,4,F
0.521,Attraction,F10,5,F
0.4801,Attraction,F8,6,F
0.4315,Attraction,F7,7,F
0.5745,Attraction,F6,8,F
0.3841,Attraction,F1,9,F
0.4011,Attraction,M1,11,F
0.4917,Attraction,F5,12,F
0.3944,Attraction,F3,13,F
0,Repulsion,M2,0,F
0.1468,Repulsion,F11,1,F
0.0688,Repulsion,F2,2,F
0,Repulsion,F9,3,F
0,Repulsion,F4,4,F
0.0435,Repulsion,F10,5,F
0,Repulsion,F8,6,F
0.1047,Repulsion,F7,7,F
0.0441,Repulsion,F6,8,F
0.1293,Repulsion,F1,9,F
0.1737,Repulsion,M1,11,F
0.0463,Repulsion,F5,12,F
0.0368,Repulsion,F3,13,F
0.5207,Bearing,M2,0,F
0.5106,Bearing,F11,1,F
0.5219,Bearing,F2,2,F
0.5412,Bearing,F9,3,F
0.5281,Bearing,F4,4,F
0.5287,Bearing,F10,5,F
0.5109,Bearing,F8,6,F
0.5602,Bearing,F7,7,F
0.5389,Bearing,F6,8,F
0.5496,Bearing,F1,9,F
0.5464,Bearing,M1,11,F
0.515,Bearing,F5,12,F
0.5634,Bearing,F3,13,F
